Task name,Date,Tags,Status,Repo/PR,Notes
"Migrate and fix imports for PFM, ICQ, and IBC-Hooks from IBC-Apps for SDK v47","June 30, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/737,
Add pre commit checks to repo,"June 29, 2023","Juno, bash",Done,https://github.com/CosmosContracts/juno/pull/738,
Trying to migrate to IBC-Apps repo. Looks like a limitation of GoLang rn…,"June 29, 2023","IBC, Juno, PFM",In progress,- https://github.com/Reecepbcups/ibc-apps/commits/reece/wasm08-support & https://github.com/CosmosContracts/juno/pull/737,If this is not possible we may have to fork IBC-Apps and change required namespaces
v16: migrate Wolfs vesting to the Core-1 subDAO as liquid,"June 28, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/735,Can re-use to migrate all core-1 members to new vesting contracts controlled by Gov. Just need a list of all Core-1 accounts + their new/ personal wallets
ictest: Added public REST API endpoint for LocalIC,"June 28, 2023","interchain-test, localjuno",Done,https://github.com/strangelove-ventures/interchaintest/pull/610/commits/ba71ff1a29962b3e2018438e9b6b6c88740d33a9,
"wasm08: Finished client upgrade, CI passes","June 28, 2023","CosmWasm, IBC, Juno",Done,https://github.com/CosmosContracts/juno/pull/680,
ibc: Migrate ICQ to add wasm-08 support,"June 27, 2023","IBC, StrangeLove",Done,https://github.com/strangelove-ventures/async-icq/pull/55,
ibc: Migrate wasmd to add wasm-08 support,"June 27, 2023","CosmWasm, IBC",Done,https://github.com/CosmWasm/wasmd/pull/1468,
ibc: Migrate PFM to new ibc capabilities for wasm-08 client,"June 27, 2023","IBC, PFM, StrangeLove",Done,https://github.com/strangelove-ventures/packet-forward-middleware/pull/89,
v47 migration: Fix x/mint and x/globalfee denoms for juno-1 and testnet,"June 26, 2023","Juno, Testing",Done,https://github.com/CosmosContracts/juno/pull/708/commits/863a1ab0626b1d46327c751e26d1a137db3c5d53 - https://github.com/CosmosContracts/juno/issues/732,"Found issue where it was only using ujuno, would have broken testnet. Dynamic upgrades now for app.GetDefaultBondDenom() using some reflection.

FIX: Future we need to test for both mainnet & testnet denoms in e2e."
core-1 call,"June 26, 2023",Meeting,Done,,
localic: More Examples + REST API Documentation,"June 25, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/51,"- base_ibc (CosmosHub, Terra, and Juno), 
- CosmosHub standalone
- Stargaze standalone"
localic: Merge Action handler & relayer into 1 endpoint,"June 25, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/50,
"localic: Py + Go lint, RequestBuilder, CosmWasm & Relayer builders","June 24, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/47,
"localic: Relay between chains, contracts - at run time + Dynamic Router","June 24, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/46,
v47: Adding Skip’s x/pob module,"June 23, 2023",Juno,In progress,https://github.com/CosmosContracts/juno/pull/731,
v47: Tokenfactory Validation Migration (x/bank hard fork issue),"June 23, 2023",Juno,In progress,https://github.com/CosmosContracts/juno/pull/730,
chore: Fix testnet fees + version for chain-registry,"June 23, 2023",chore,Done,https://github.com/cosmos/chain-registry/pull/2404,
Reduced testing times,"June 23, 2023","Juno, Testing",Done,https://github.com/CosmosContracts/juno/pull/729,
localic: Faster block times config + validation,"June 23, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/45,
Leap Wallet,"June 22, 2023",Meeting,Done,,"wallet, new b2b product & use cases, archive nodes + indexing"
CometBFT: attempt to decode bz to JSON for Tx types in the RPC,"June 21, 2023",,Blocked,,"due to the SDK wrapped the RPC endpoints, currently not possible. Need to see if I can inject / override requests on the SDK side to support"
ictest: reviewed changes + usage in Juno and LocalIC,"June 21, 2023",localjuno,Done,"https://github.com/CosmosContracts/juno/pull/724 - WIP (Waiting on main)

https://github.com/Reecepbcups/local-interchain/commit/91906430cbb62a89a71756e01539943a3a83b61f",
"Sei Network (Philip) ","June 20, 2023",Meeting,Done,,"CosmosCache, interchain-test, Exports, and local-interchain"
SG-1 (Clyde) Infra Call,"June 20, 2023",Meeting,Done,,Cosmos Cache on Akash
"v2 rewrite - better indexing, storage, and query systems","June 19, 2023",Indexer,In progress,https://github.com/Reecepbcups/cosmos-indexer/pull/17,This is required for an API on top in the future 😀
v47: Fix ContractKeeper to use permissionedKeeper,"June 19, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/721,Required for future upgrades to execute on a contract.
indexer: 5h course into indexing and proper SQL usage for best performance,"June 18, 2023","Indexer, SQL",Done,,
local-ic: Release general binary for all systems,"June 18, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/44,
local-ic - broad binary distribution support (filepath configs),"June 18, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/43,
local-ic: Validation & better new command handling for inputs,"June 18, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/42,
localic - server router rewrite,"June 18, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/41,
Packet Forward Middlware UI,"June 17, 2023","Juno, PFM, WebApp",Done,https://github.com/Reecepbcups/ibc-anywhere-webapp/pull/20,https://twitter.com/Reecepbcups_/status/1670152560336928770
[v47] IBC v7.1.0 http://localhost upgrade + version bumps,"June 17, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/718,
[v47] Security patches + IBC migration handler,"June 16, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/718,
new-chain command for easy templating,"June 15, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/38,
Adds all stargate queries for smart contracts,"June 15, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/715,"may be a better way to do with reflection, but I am not aware of it"
Contract bypass Min Fee example,"June 14, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/712,"Despite it not passing, we may want in the future. Rough draft idea (not tested) to show how proposal 306 would be implimented if approved in the future / for another bit of infra"
local-ic command + auto complete,"June 14, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/37,
"v47 - Migrated TF, Mint, GlobalFee fully","June 13, 2023",,Done,"https://github.com/CosmosContracts/juno/pull/707
https://github.com/CosmosContracts/juno/pull/706
https://github.com/CosmosContracts/juno/pull/708","Just waiting on GlobalFee, getting weird storeKey error depsite no module name change."
Mike at Croncats on Juno Features,"June 6, 2023","Juno, Meeting",Done,,
v16: Migrated/Re-wrote GlobalFee to new params,"June 5, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/708,
v16: Migrate Mint to v1gov params,"June 5, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/707,
v16: Migrate TokenFactory to v1gov params,"June 5, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/706,
v16: Migrate FeeShare to v1gov params,"June 5, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/705,
v16: Finish cleanup branch for namespace + some nits from review call for SDK v47,"June 5, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/692,
Upgrade: v15 - live in 5m 10s,"June 5, 2023","Juno, Upgrade",Done,,
Local-IC: Move chains to their own folder vs in configs,"June 3, 2023","CosmWasm, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/32,https://twitter.com/Reecepbcups_/status/1665223378632953857?s=20
LocalIC: Make for Windows + add a base chain example,"June 3, 2023","Juno, localjuno",Done,https://github.com/Reecepbcups/local-interchain/commit/ad5297a952c663d1ff39c4d1f3aa433b9bf38440,
Minecraft: Porting my MC Integration → Juno chain + PvP betting Server,"June 3, 2023","Juno, Minecraft",In progress,"Plugin: https://github.com/Reecepbcups/juno-minecraft-integration
Server usage: https://github.com/Reecepbcups/juno-pvp-server",
LocalIC: Use the Install dir with go flags vs force home use,"June 3, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/31,
"LocalIc: Easier UX, Cleanup env variables, added /info endpoint","June 2, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain/compare/c16c585a0d8e2d595ae0e7517594cbc991943d0e...72cb4b68aee6dad94d4fdf515bbe3e274b417256,
Proposal 297,"June 2, 2023","Governance, Juno",Done,"https://www.mintscan.io/juno/proposals/297

- https://github.com/cosmos/chain-registry/pull/2256
- https://github.com/cosmostation/chainlist/pull/608
- https://github.com/chainapsis/keplr-wallet",Tested with https://github.com/Reecepbcups/cosmos-proposal-maker/commit/05ab06a39ecafd8c3defcad111c00246e0ca3276
LocalIC: Remove testing.T and allow for compiling to binary,"June 1, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/28,Req from Jack
LocalIC: Base DAODAO launcher + StoreCode cache,"June 1, 2023","daodao, localjuno",Done,https://github.com/Reecepbcups/local-interchain/pull/24,
LocalIC: Working on getting DAODAO setup,"May 31, 2023","daodao, localjuno",In progress,https://github.com/Reecepbcups/local-interchain/pull/24,"Not really any documentation on how to do this, all seems out of date. Prob need to ask Noah if he has a script or JS which helps."
LocalIC: Added startup commands to genesis,"May 31, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/22,"On startup, maybe a dev wants to auto load their contracts & configure. This allows that for faster startup"
LocalIC: IBC connect 1 chain to multiple,"May 31, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/20,
LocalIC: Runtime execution of Txs & Queries via REST API,"May 31, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/18,🔥🔥🔥🔥🔥🔥
LocalIC: Adds IBC logs on start of nodes,"May 31, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/16,
LocalIC: Cleaner runtime + adds genesis keys to nodes,"May 31, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/15,
POC: Ante FeeBypass for new accounts handler,"May 30, 2023",Juno,In progress,not pushed up yet. Will be useful for DAODAO & Juno Juicer. Will build module x/FeeBypass in the future,
LocalIC - Switch between configs,"May 27, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/11,Using CHAIN_CONFIG=2_chains.json make run you can call other configs. Useful for multiple networks
LocalInterchain - cleanup & configs,"May 27, 2023",localjuno,Done,https://github.com/Reecepbcups/local-interchain/pull/10,"Better sorting of actions, multiple configs, Specify custom encoding, "
"LocalInterchain - config, Json, and IBC relaying (No code)","May 27, 2023","interchain-test, localjuno",Done,https://github.com/Reecepbcups/local-interchain,"Config defaults, JSON env variables, and IBC relaying (optional) for any chain / multi chain setup"
Coordinate v15-alpha.1 & 2 on testnet,"May 26, 2023",Upgrade,Done,Uni-6,
[v16] Migrating x/params → per module,"May 25, 2023",Juno,In progress,https://github.com/CosmosContracts/juno/pull/698,
Tech Roundtable #2 Call,"May 25, 2023",Call,Done,Twitter space,
CosmosDefi - Cosmwasm + Juno live,"May 24, 2023",Youtube,Done,https://www.youtube.com/live/OB_Kb7vHAnc?feature=share,
Renamed all v15/v16 namespaces. Prop for v15-a1,"May 24, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/693,"Minor patch requires state breaking, so bumped all versions, PRs, and ICtest references"
[v15] Cleanup & improvements,"May 23, 2023",Juno,In progress,https://github.com/CosmosContracts/juno/pull/692,
Daniel (fortytwo project) call,"May 23, 2023",Meeting,Done,,
Rhino Stake Call (CosmosCache),"May 23, 2023",Meeting,Done,,
Add param change to our legacy Token-Factory fork,"May 23, 2023","Juno, TokenFactory",Done,https://github.com/CosmosContracts/token-factory/pull/15,
[v14.2] Upgrade Handler + TF Param changes,"May 23, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/691,
[v15] PFM e2e ictest,"May 22, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/689,
[v15] IBC-Hook e2e ictest,"May 22, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/690,
Call with Jake,"May 22, 2023",Meeting,Done,,
[v14] Version patch,"May 21, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/685,Will cordinate with Uni & mainnet vals here soon
ibc-go EnableFeeChannel Requests,"May 20, 2023","IBC, issue",Done,https://github.com/cosmos/ibc-go/issues/3622,"Waiting on teams feedback, will implement if they are interested in adding"
[v15] x/IBCFee ictest,"May 20, 2023","Juno, interchain-test",Blocked,https://github.com/CosmosContracts/juno/pull/684,Current channel is not opening up properly. May HAVE to do an upgrade to enable channels to do fees? kinda hard to test then…
[v47] Use upstream features + IBCFee enable all ics20,"May 19, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/683,
"[v47] Personal Review, Cleanup, Less duplication, Bump versions","May 19, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/compare/279a6a4ff63c4e8f9b0ab63de8c7ff51349d243b...9cea11c42c85bec15a76a4ff25bed2eeed88e8da,Need to upstream ModifyGenesis to ictest main branch. Wanted to review before monday group call
[v47] Move min commission from ante → x/staking + tested manually.,"May 18, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/646/commits/4af8731c6ee2a4f5a16630071b8a9c74b51cc1bf,Also added it to the upgrade handler as 0.05
[meeting] SparkIBC,"May 18, 2023",Meeting,Done,,
