Task name,Date,Tags,Repo/PR,Notes,Created time
feat: native multichain support,"March 31, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/109,,"March 31, 2025 10:16 PM"
"docs: a bunch (component & readme), per request","March 31, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/108,"makefile patch, better component comments, more README substance","March 31, 2025 8:05 PM"
jco npm i verification,"March 31, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/107,,"March 31, 2025 10:38 AM"
"fix: misc findings (float delays, empty command skip, persist vars)","March 31, 2025",docci,https://github.com/Reecepbcups/docci/pull/36,moved from March 29th work to a new PR so I can refactor the shell part for the entire app,"March 31, 2025 8:14 AM"
"stdin, global env variables, escaped quotes in output, and float delays","March 29, 2025",docci,https://github.com/Reecepbcups/docci/pull/35,,"March 29, 2025 5:36 PM"
multichain example,"March 28, 2025",wavs,"https://github.com/Lay3rLabs/wavs-foundry-template/issues/104
https://github.com/Lay3rLabs/wavs-multichain-example/pull/1",,"March 28, 2025 8:49 PM"
fix(ci): docker release pipeline,"March 28, 2025",Ondo,https://github.com/ondoprotocol/ondochain/commit/aa0dfa2fa51784d6e9c28e6f940146a6240595dc,,"March 28, 2025 12:22 PM"
feat: permissionless ERC20 to cosmos coin,"March 27, 2025","Ondo, Review",https://github.com/ondoprotocol/ondochain/pull/42,"also wrote the PoC here, so not just a review. just the production system","March 27, 2025 5:32 PM"
joel,"March 27, 2025",Call,,,"March 27, 2025 5:25 PM"
review: feat(erc20): permissionless erc20 registration,"March 27, 2025","Ondo, Review",https://github.com/strangelove-ventures/os/pull/5#pullrequestreview-2722831484,,"March 27, 2025 12:33 PM"
review: token factory,"March 27, 2025",thorchain,https://gitlab.com/thorchain/thornode/-/merge_requests/3837#note_49667491,,"March 27, 2025 12:24 PM"
review: Add custom components documentation,"March 27, 2025","Review, wavs",https://github.com/Lay3rLabs/wavs-foundry-template/pull/103,,"March 27, 2025 11:09 AM"
finished typescript support feature parity,"March 26, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/97,,"March 26, 2025 8:33 PM"
https://github.com/Lay3rLabs/wavs-foundry-template/pull/97/commits/6998d5379dab7ab6acdc4594de256dbc3e355279 — much simplier for TS structure,"March 26, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/97,,"March 26, 2025 7:12 PM"
fix: json parsing with wavs-cli service,"March 26, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/102,,"March 26, 2025 7:12 PM"
"test, review, and integrate into template","March 26, 2025","Review, wavs",https://github.com/Lay3rLabs/WAVS/pull/473,,"March 26, 2025 5:07 PM"
v0.1.0,"March 26, 2025",Ondo,https://github.com/ondoprotocol/ondochain/releases/tag/v0.1.0,,"March 26, 2025 4:36 PM"
"feat: Typescript support - CMC example, working with live network","March 26, 2025",wavs,https://github.com/Lay3rLabs/wavs-foundry-template/pull/97,,"March 26, 2025 2:27 PM"
evan docs / llm stuff,"March 26, 2025",Meeting,,,"March 26, 2025 12:21 PM"
refactor: migrate to use wavs-cli service commands,"March 25, 2025",wavs,"https://github.com/Lay3rLabs/wavs-foundry-template/pull/98
https://github.com/Lay3rLabs/WAVS/issues/470",,"March 25, 2025 10:02 PM"
fix: revert test_node.sh to make picky macos happy,"March 25, 2025","Ondo, Spawn","https://github.com/rollchains/spawn/pull/296
https://github.com/ondoprotocol/ondochain/pull/39",,"March 25, 2025 3:18 PM"
chore: testnet v0 final params,"March 24, 2025",Ondo,https://github.com/ondoprotocol/ondochain/pull/37,,"March 24, 2025 6:49 PM"
review: feat: deploy precompiles on market creation,"March 24, 2025","Ondo, Review",https://github.com/ondoprotocol/ondochain/pull/36,,"March 24, 2025 4:32 PM"
feat: Typescript support,"March 24, 2025","Typescipt, wavs",https://github.com/Lay3rLabs/wavs-foundry-template/pull/97,,"March 24, 2025 4:26 PM"
Got enarx example running (no WAVS),"March 24, 2025",wavs,,,"March 24, 2025 11:00 AM"
